TIMESLOT,Actual,Predicted
2018-12-05 00:00:00,1754.81,1724.4508994949772
2018-12-05 01:00:00,1570.04,1639.2471507403088
2018-12-05 02:00:00,1485.25,1564.068969013815
2018-12-05 03:00:00,1455.11,1529.1503761625581
2018-12-05 04:00:00,1481.84,1530.9542658978041
2018-12-05 05:00:00,1679.56,1679.3120222840132
2018-12-05 06:00:00,2373.25,2410.1244018258203
2018-12-05 07:00:00,3107.21,3071.8017669499677
2018-12-05 08:00:00,3264.13,3359.6991079877685
2018-12-05 09:00:00,3302.03,3387.4543017471306
2018-12-05 10:00:00,3419.47,3440.208748734668
2018-12-05 11:00:00,3438.06,3352.709476855981
2018-12-05 12:00:00,3300.63,3202.859747809527
2018-12-05 13:00:00,3087.19,3016.993099911776
2018-12-05 14:00:00,2952.41,2912.3661835617972
2018-12-05 15:00:00,2938.98,2910.4447562143337
2018-12-05 16:00:00,2855.81,2862.9648798002218
2018-12-05 17:00:00,2985.32,3016.253037942611
2018-12-05 18:00:00,3253.88,3195.1696364341956
2018-12-05 19:00:00,3208.13,3235.3101394072723
2018-12-05 20:00:00,2990.86,2945.6807299321717
2018-12-05 21:00:00,2647.63,2667.485204140908
2018-12-05 22:00:00,2392.32,2371.0153564855923
2018-12-05 23:00:00,2110.29,2188.1357317899055
2018-12-06 00:00:00,1785.9,1748.4202172966166
2018-12-06 01:00:00,1624.57,1652.3446748448052
2018-12-06 02:00:00,1537.31,1587.191364801439
2018-12-06 03:00:00,1496.58,1549.457053080924
2018-12-06 04:00:00,1481.62,1536.7404609860134
2018-12-06 05:00:00,1654.73,1676.377905579838
2018-12-06 06:00:00,2327.03,2361.1958989449195
2018-12-06 07:00:00,3037.73,3025.5381933765834
2018-12-06 08:00:00,3159.04,3319.5908854303725
2018-12-06 09:00:00,3260.73,3324.2500511284957
2018-12-06 10:00:00,3451.22,3441.930887665939
2018-12-06 11:00:00,3520.87,3419.476414196065
2018-12-06 12:00:00,2423.27,3366.650594699454
2018-12-06 13:00:00,2156.84,2670.444570001905
2018-12-06 14:00:00,2971.23,2419.1554528610927
2018-12-06 15:00:00,2984.0,2926.4884940006095
2018-12-06 16:00:00,2877.6,2893.841748597968
2018-12-06 17:00:00,3062.86,2997.022982610707
2018-12-06 18:00:00,3221.08,3277.721856513881
2018-12-06 19:00:00,3183.18,3273.2853161910716
2018-12-06 20:00:00,2970.36,2938.1403027981955
2018-12-06 21:00:00,2603.23,2658.598644052061
2018-12-06 22:00:00,2343.58,2374.1454867351317
2018-12-06 23:00:00,2091.92,2156.910777731083
2018-12-07 00:00:00,1739.44,1747.5213797318904
2018-12-07 01:00:00,1579.63,1624.9111514801625
2018-12-07 02:00:00,1481.55,1566.8502174688417
2018-12-07 03:00:00,1446.85,1527.173125698394
2018-12-07 04:00:00,1428.12,1528.0201491936289
2018-12-07 05:00:00,1632.93,1658.4295954092424
2018-12-07 06:00:00,2403.53,2350.120451365934
2018-12-07 07:00:00,3206.48,3008.9537299400235
2018-12-07 08:00:00,3329.59,3306.1628923141707
2018-12-07 09:00:00,3333.77,3435.700481575427
2018-12-07 10:00:00,3594.0,3513.740310294759
2018-12-07 11:00:00,3542.34,3397.077786866547
2018-12-07 12:00:00,3412.79,2915.7595490306226
2018-12-07 13:00:00,3138.28,2741.9620889771136
2018-12-07 14:00:00,2967.54,2957.8209125242315
2018-12-07 15:00:00,2947.29,2931.7795225012514
2018-12-07 16:00:00,2878.98,2917.6035103933027
