TIMESLOT,dayofWeek,temp,feelslike,dew,humidity,windspeed,isHoliday,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
12/24/2017 0:00:00,Sunday,12,12,7,71.47,0,0,1793.03,689.08,387.92,546.07,127.96,24.96,17.04
12/24/2017 0:00:00,Sunday,12,12,7,71.47,0,0,1793.03,689.08,387.92,546.07,127.96,24.96,17.04
12/24/2017 1:00:00,Sunday,11,11,6,71.28,0,0,1599.93,595.66,335.34,507.23,122.31,24.19,15.2
12/24/2017 2:00:00,Sunday,11.2,11.2,9.1,87.11,0,0,1488.3,544.96,310.08,476.24,119.05,23.83,14.14
12/24/2017 3:00:00,Sunday,11,11,7,76.36,0,0,1431.84,519.44,296.73,461.18,117.26,23.63,13.6
12/24/2017 4:00:00,Sunday,10,10,7,81.62,0,0,1435.71,531.65,286.2,462.97,117.24,24.01,13.64
12/24/2017 5:00:00,Sunday,9,9,7,87.29,0,0,1570.64,599.31,310.16,501.78,118.34,26.13,14.92
12/24/2017 6:00:00,Sunday,9,9,7,87.29,0,0,1904.45,752.32,385.78,595.71,123.29,29.26,18.09
12/24/2017 7:00:00,Sunday,10,10,7,81.62,0,0,2415.69,977.9,516.97,734.75,131.95,32.01,22.11
12/24/2017 8:00:00,Sunday,8.6,8.6,7,90.14,0,0,3032.56,1231.13,675.55,919.72,142.61,34.73,28.82
12/24/2017 9:00:00,Sunday,18,18,9,55.66,0,0,3350.28,1362.21,738.57,1030.35,152.06,35.27,31.82
12/24/2017 10:00:00,Sunday,20,20,6,40.03,7.6,0,3633.4,1451.5,804.14,1161.51,147.65,34.07,34.53
12/24/2017 11:00:00,Sunday,21.7,21.7,8.2,42.03,6,0,3650.53,1443.07,818.14,1182.41,140.31,31.93,34.67
12/24/2017 12:00:00,Sunday,23,23,6,33.32,9.4,0,3507.45,1415.75,769.36,1117.93,141.41,29.62,33.38
12/24/2017 13:00:00,Sunday,24,24,5,29.26,7.6,0,3184.12,1282.32,691.47,1006.4,145.33,28.34,30.26
12/24/2017 14:00:00,Sunday,24,24,7.9,35.74,2.7,0,2828.71,1116.32,606.43,920,133.4,25.69,26.87
12/24/2017 15:00:00,Sunday,23,23,4,28.98,9.4,0,2646.35,1008.07,573.04,887.77,128.21,24.11,25.15
12/24/2017 16:00:00,Sunday,22,22,4,30.8,7.6,0,2543.21,956.6,541.52,868.93,127.63,24.37,24.16
12/24/2017 17:00:00,Sunday,20.8,20.8,10.2,50.68,2.7,0,2599.61,994.18,559.23,862.56,132.63,26.3,24.71
12/24/2017 18:00:00,Sunday,18,18,6,45.35,5.4,0,2975.76,1183.71,647.84,940.67,143.98,31.3,28.26
12/24/2017 19:00:00,Sunday,17,17,7,51.75,0,0,2963.09,1149.74,653.56,946.03,153.45,32.16,28.15
12/24/2017 20:00:00,Sunday,13,13,9.4,78.88,0,0,2807.11,1128.89,599.27,867.53,151.31,32.01,28.1
12/24/2017 21:00:00,Sunday,14,14,7,62.72,0,0,2576.53,1070.2,541.54,754.74,153.57,32.01,24.47
12/24/2017 22:00:00,Sunday,14,14,7,62.72,0,0,2368.37,959.32,485.55,724.31,146.8,29.9,22.49
12/24/2017 23:00:00,Sunday,11.6,11.6,9,84.07,0,0,2080.54,831.62,420.51,644.03,138.13,26.48,19.77
12/25/2017 0:00:00,Monday,13,13,7,66.93,0,1,1767.05,679.42,353.29,567.7,125.31,24.55,16.78
12/25/2017 1:00:00,Monday,12,12,8,76.52,0,1,1573,585.65,304.71,526.23,117.86,23.61,14.94
12/25/2017 2:00:00,Monday,11,11,8.8,86.11,0,1,1468.57,541.75,279.55,492.94,116.88,23.5,13.95
12/25/2017 3:00:00,Monday,11,11,9,87.48,5.4,1,1423.27,526.61,267.32,477.8,114.47,23.55,13.52
12/25/2017 4:00:00,Monday,11,11,8,81.75,0,1,1430.29,532.58,263.12,483.9,113.32,23.78,13.59
12/25/2017 5:00:00,Monday,8.7,8.7,7.5,92.37,4.5,1,1559.03,601.08,289.12,513.17,114.9,25.95,14.81
12/25/2017 6:00:00,Monday,9,9,7,87.29,0,1,1928.06,776.08,369.58,616.3,119.03,28.75,18.32
12/25/2017 7:00:00,Monday,9,8.5,7,87.29,5.4,1,2451.46,999.29,486.87,775.81,133.88,31.88,23.73
12/25/2017 8:00:00,Monday,9,9,8.4,96.05,0,1,3108.29,1263.64,670.87,972.94,136.04,35.27,29.53
12/25/2017 9:00:00,Monday,12,12,9,81.88,3.6,1,3419.68,1431.64,719.45,1047.28,153.22,35.6,32.49
12/25/2017 10:00:00,Monday,16,16,12,77.15,9.4,1,3782.26,1546.79,787.38,1227.35,149.97,34.84,35.93
12/25/2017 11:00:00,Monday,17.2,17.2,12,71.64,11.1,1,3806.95,1525.16,810.18,1259.88,143.25,32.31,36.17
12/25/2017 12:00:00,Monday,20,20,11,56.16,13,1,3621.39,1451.17,737.05,1218.23,149.7,30.84,34.4
12/25/2017 13:00:00,Monday,21,21,9,46.19,16.6,1,3249.24,1308.08,661.98,1074.16,145.15,29,30.87
12/25/2017 14:00:00,Monday,22.3,22.3,8.9,42.34,14.2,1,2938.23,1158.59,584.29,1005.8,135.31,26.33,27.91
12/25/2017 15:00:00,Monday,22,22,8,40.6,13,1,2841.94,1087.5,575.66,992.01,135.1,24.68,26.99
12/25/2017 16:00:00,Monday,22,22,8,40.6,14.8,1,2732.13,1043.24,551.18,959.78,127.13,24.85,25.95
12/25/2017 17:00:00,Monday,19.7,19.7,11.5,59.43,2.9,1,2783.85,1077.06,551.72,970.45,130.65,27.53,26.44
12/25/2017 18:00:00,Monday,18,18,8,52.01,5.4,1,3167.44,1254.75,655.53,1039.74,154.48,32.85,30.09
12/25/2017 19:00:00,Monday,16,16,9,63.17,5.4,1,3150.91,1255.83,650.94,1032.2,147.99,34.02,29.93
12/25/2017 20:00:00,Monday,13.4,13.4,10.5,82.5,0,1,2977.84,1197.09,613.28,950.05,154.99,34.15,28.28
12/25/2017 21:00:00,Monday,14,14,9,71.85,0,1,2698.67,1129.42,553.45,806.4,150.49,33.26,25.65
12/25/2017 22:00:00,Monday,14,14,9,71.85,0,1,2486.44,1021.67,510.84,761.68,138.2,30.43,23.62
12/25/2017 23:00:00,Monday,10.7,10.7,9.7,93.32,0,1,2149.18,873.86,435.18,663.01,129.89,26.84,20.4
12/26/2017 0:00:00,Tuesday,11,11,9,87.48,0,0,1830.45,714.13,363.09,588.49,122.61,24.73,17.4
12/26/2017 1:00:00,Tuesday,11,11,9,87.48,0,0,1615.28,618.49,309.68,531.76,115.79,24.22,15.34
12/26/2017 2:00:00,Tuesday,10.1,10.1,9.2,93.96,2.6,0,1515.78,571.24,282.61,509.32,114.4,23.81,14.4
12/26/2017 3:00:00,Tuesday,10,10,8,87.38,0,0,1467.13,565.06,266.12,484,114.18,23.83,13.94
12/26/2017 4:00:00,Tuesday,10,10,8,87.38,0,0,1501.09,581.58,265.36,499.68,115.56,24.65,14.26
12/26/2017 5:00:00,Tuesday,8.4,8.4,7.7,95.43,0,0,1663.25,656.39,303.36,545.49,114.66,27.55,15.8
12/26/2017 6:00:00,Tuesday,9,9,7,87.29,0,0,2304.67,933.76,453.03,737.89,124.02,34.07,21.9
12/26/2017 7:00:00,Tuesday,9,8.5,8,93.45,5.4,0,3063.56,1272.73,644.15,937.51,141.79,38.27,29.11
12/26/2017 8:00:00,Tuesday,9.5,9.5,8.5,93.58,2.1,0,3425.07,1416.12,733.78,1040.92,162.29,39.42,32.54
12/26/2017 9:00:00,Tuesday,12,12,9,81.88,7.6,0,3542.83,1473.84,737.06,1077.44,181.29,39.55,33.65
12/26/2017 10:00:00,Tuesday,15,15,9,67.35,9.4,0,3791.42,1529.28,763.45,1239,184.78,38.88,36.03
12/26/2017 11:00:00,Tuesday,18.9,18.9,9,52.69,6.3,0,3648.76,1436.04,741.95,1221.7,177.8,36.62,34.65
12/26/2017 12:00:00,Tuesday,20,20,10,52.54,13,0,3470.25,1338.06,710.11,1176.42,178.57,34.12,32.97
12/26/2017 13:00:00,Tuesday,21,21,9,46.19,13,0,3161.64,1238.77,645.65,1035.33,179.26,32.59,30.04
12/26/2017 14:00:00,Tuesday,22.8,22.8,10.1,44.42,9.1,0,2936.86,1137.99,594.88,968.21,177.51,30.38,27.89
12/26/2017 15:00:00,Tuesday,23,23,9,40.88,13,0,2875.46,1101.43,584.06,961.92,171.35,29.39,27.31
12/26/2017 16:00:00,Tuesday,22,22,9,43.45,13,0,2866.31,1101.16,584.31,958.41,166.14,29.06,27.23
12/26/2017 17:00:00,Tuesday,20.7,20.7,12.4,59.21,4.9,0,2937.92,1151.56,601.93,959.63,166.24,30.66,27.9
12/26/2017 18:00:00,Tuesday,18,18,10,59.52,7.6,0,3221.88,1314.72,669.6,1001.35,170.26,35.35,30.6
12/26/2017 19:00:00,Tuesday,17,17,10,63.4,5.4,0,3285.32,1362.95,670.94,1020.53,163.78,35.91,31.21
12/26/2017 20:00:00,Tuesday,13.9,13.9,10.7,81.19,0,0,3367.76,1396.72,687.33,1060,155.99,35.73,31.99
12/26/2017 21:00:00,Tuesday,14,14,9,71.85,0,0,2768.56,1151.25,565.59,839.02,152.5,33.89,26.31
12/26/2017 22:00:00,Tuesday,13,13,9,76.68,0,0,2517.59,1030.27,522.4,763.93,146.17,30.91,23.91
12/26/2017 23:00:00,Tuesday,11.3,11.3,9.9,91.15,0,0,2146.12,868.76,420.56,672.64,136.56,27.2,20.4
12/27/2017 0:00:00,Wednesday,12,12,9,81.88,0,0,1825.16,719.31,342.66,594.45,126.47,24.93,17.34
12/27/2017 1:00:00,Wednesday,11.1,11.1,9.1,87.48,0,0,1615.4,623.25,296.23,534.08,122.21,24.29,15.34
12/27/2017 2:00:00,Wednesday,10.1,10.1,8.9,92.48,0,0,1530.47,584.32,268,523.96,115.76,23.89,14.54
12/27/2017 3:00:00,Wednesday,10,10,9,93.5,0,0,1475.48,573.58,255.74,489.91,118.3,23.94,14.01
