TIMESLOT,dayofWeek,temp,feelslike,dew,humidity,windspeed,isHoliday,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
2017-12-24 00:00:00,Sunday,12.0,12.0,7.0,71.47,0.0,0,1793.03,689.08,387.92,546.07,127.96,24.96,17.04
2017-12-24 01:00:00,Sunday,11.0,11.0,6.0,71.28,0.0,0,1599.93,595.66,335.34,507.23,122.31,24.19,15.2
2017-12-24 02:00:00,Sunday,11.2,11.2,9.1,87.11,0.0,0,1488.3,544.96,310.08,476.24,119.05,23.83,14.14
2017-12-24 03:00:00,Sunday,11.0,11.0,7.0,76.36,0.0,0,1431.84,519.44,296.73,461.18,117.26,23.63,13.6
2017-12-24 04:00:00,Sunday,10.0,10.0,7.0,81.62,0.0,0,1435.71,531.65,286.2,462.97,117.24,24.01,13.64
2017-12-24 05:00:00,Sunday,9.0,9.0,7.0,87.29,0.0,0,1570.64,599.31,310.16,501.78,118.34,26.13,14.92
2017-12-24 06:00:00,Sunday,9.0,9.0,7.0,87.29,0.0,0,1904.45,752.32,385.78,595.71,123.29,29.26,18.09
2017-12-24 07:00:00,Sunday,10.0,10.0,7.0,81.62,0.0,0,2415.69,977.9,516.97,734.75,131.95,32.01,22.11
2017-12-24 08:00:00,Sunday,8.6,8.6,7.0,90.14,0.0,0,3032.56,1231.13,675.55,919.72,142.61,34.73,28.82
2017-12-24 09:00:00,Sunday,18.0,18.0,9.0,55.66,0.0,0,3350.28,1362.21,738.57,1030.35,152.06,35.27,31.82
2017-12-24 10:00:00,Sunday,20.0,20.0,6.0,40.03,7.6,0,3633.4,1451.5,804.14,1161.51,147.65,34.07,34.53
2017-12-24 11:00:00,Sunday,21.7,21.7,8.2,42.03,6.0,0,3650.53,1443.07,818.14,1182.41,140.31,31.93,34.67
2017-12-24 12:00:00,Sunday,23.0,23.0,6.0,33.32,9.4,0,3507.45,1415.75,769.36,1117.93,141.41,29.62,33.38
2017-12-24 13:00:00,Sunday,24.0,24.0,5.0,29.26,7.6,0,3184.12,1282.32,691.47,1006.4,145.33,28.34,30.26
2017-12-24 14:00:00,Sunday,24.0,24.0,7.9,35.74,2.7,0,2828.71,1116.32,606.43,920.0,133.4,25.69,26.87
2017-12-24 15:00:00,Sunday,23.0,23.0,4.0,28.98,9.4,0,2646.35,1008.07,573.04,887.77,128.21,24.11,25.15
2017-12-24 16:00:00,Sunday,22.0,22.0,4.0,30.8,7.6,0,2543.21,956.6,541.52,868.93,127.63,24.37,24.16
2017-12-24 17:00:00,Sunday,20.8,20.8,10.2,50.68,2.7,0,2599.61,994.18,559.23,862.56,132.63,26.3,24.71
2017-12-24 18:00:00,Sunday,18.0,18.0,6.0,45.35,5.4,0,2975.76,1183.71,647.84,940.67,143.98,31.3,28.26
2017-12-24 19:00:00,Sunday,17.0,17.0,7.0,51.75,0.0,0,2963.09,1149.74,653.56,946.03,153.45,32.16,28.15
2017-12-24 20:00:00,Sunday,13.0,13.0,9.4,78.88,0.0,0,2807.11,1128.89,599.27,867.53,151.31,32.01,28.1
2017-12-24 21:00:00,Sunday,14.0,14.0,7.0,62.72,0.0,0,2576.53,1070.2,541.54,754.74,153.57,32.01,24.47
2017-12-24 22:00:00,Sunday,14.0,14.0,7.0,62.72,0.0,0,2368.37,959.32,485.55,724.31,146.8,29.9,22.49
2017-12-24 23:00:00,Sunday,11.6,11.6,9.0,84.07,0.0,0,2080.54,831.62,420.51,644.03,138.13,26.48,19.77
2017-12-25 00:00:00,Monday,13.0,13.0,7.0,66.93,0.0,1,1767.05,679.42,353.29,567.7,125.31,24.55,16.78
2017-12-25 01:00:00,Monday,12.0,12.0,8.0,76.52,0.0,1,1573.0,585.65,304.71,526.23,117.86,23.61,14.94
2017-12-25 02:00:00,Monday,11.0,11.0,8.8,86.11,0.0,1,1468.57,541.75,279.55,492.94,116.88,23.5,13.95
2017-12-25 03:00:00,Monday,11.0,11.0,9.0,87.48,5.4,1,1423.27,526.61,267.32,477.8,114.47,23.55,13.52
